feature,jm_1_2,jm_1_3,jm_1_4,jm_mean,jm_min
VV_VH_ratio_a3,0.3770476357295993,0.0763229098008622,0.008788099341826339,0.15405288162409594,0.008788099341826339
VV_VH_ratio_M06,0.37508767920333486,0.06986233957258214,0.01588694674779978,0.15361232184123894,0.01588694674779978
NDVI_M07,0.3827237954564633,0.019722110318484587,0.056862578936672126,0.15310282823720667,0.019722110318484587
VV_VH_ratio_a1,0.2603695132149795,0.15467711792512562,0.042536860248997055,0.15252783046303406,0.042536860248997055
VV_VH_ratio_M08,0.3822492818868186,0.04437498775660731,0.029219268598629666,0.1519478460806852,0.029219268598629666
LSWI_r2,0.043229852831454973,0.3014895737511678,0.11081912844484343,0.1518461850091554,0.043229852831454973
GCVI_M10,0.06134589321415973,0.12284361477275252,0.2672021475079649,0.15046388516495904,0.06134589321415973
NDVI_M06,0.3060652627788949,0.055960811013659795,0.08904008505742866,0.15035538628332779,0.055960811013659795
nir_M08,0.27298213177346153,0.1703411236854122,0.0076322310049838915,0.15031849548795254,0.0076322310049838915
VV_db_mean,0.009172809680299432,0.36916897706287566,0.07047948706970164,0.14960709127095892,0.009172809680299432
BSI_M07,0.2014380425353024,0.17112152888580034,0.07533775375123941,0.14929910839078073,0.07533775375123941
GCVI_M09,0.16715682454710512,0.010568606497203925,0.2694021184565605,0.14904251650028985,0.010568606497203925
VV_db_M05,0.02259358545245327,0.3271478344736316,0.09478346872866106,0.1481749628849153,0.02259358545245327
VV_db_M04,0.002626530065869881,0.3474565192461545,0.09141387310744542,0.14716564080648994,0.002626530065869881
VV_db_min,0.022458956848687928,0.33358434256987457,0.0841464408292052,0.14672991341592256,0.022458956848687928
VV_minus_VH_db_spring_rise,0.13278797595784209,0.2993134710854344,0.0008225943418711523,0.1443080137950492,0.0008225943418711523
nir_M06,0.30783930368798806,0.06195694657546391,0.0567961299175892,0.14219746006034706,0.0567961299175892
blue_M06,0.2937684938823455,0.02368257496843995,0.09621376657942893,0.13788827847673812,0.02368257496843995
NDMI_M07,0.14750628854638936,0.1916667141947268,0.07442423343548676,0.13786574539220098,0.07442423343548676
green_M06,0.2836038893444166,0.013450954478877675,0.11607484179557126,0.1377098952062885,0.013450954478877675
EVI_amp,0.31283867384350383,0.07146944218354734,0.022993769498900196,0.13576729517531713,0.022993769498900196
NDVI_a0,0.3475660962087501,0.029962005920257884,0.029160053409814868,0.13556271851294097,0.029160053409814868
EVI_std,0.29166951364906546,0.0794117126306062,0.033530848200328034,0.13487069149333322,0.033530848200328034
LSWI_spring_rise,0.03429996070574881,0.30717656859456177,0.05815013072030051,0.13320888667353703,0.03429996070574881
LSWI_M07,0.2229039208607455,0.10612905236736259,0.06594575001906433,0.13165957441572415,0.06594575001906433
GCVI_M06,0.14060874606187035,0.03837763749988765,0.21403623945926697,0.13100754100700832,0.03837763749988765
NDMI_a2,0.2199950352672737,0.11357354513001794,0.05683688819290644,0.1301351561967327,0.05683688819290644
VV_db_M10,0.0056076771720001695,0.31775029228577556,0.059134863346499866,0.12749761093475853,0.0056076771720001695
NDMI_spring_rise,0.03501567922861493,0.2842743019739271,0.04523296438499913,0.12150764852918039,0.03501567922861493
VV_VH_ratio_M07,0.28320481127336206,0.033153173346194054,0.046728474141117804,0.12102881958689131,0.033153173346194054
VV_db_M06,0.013239746411879416,0.2674269469858943,0.07899661021395543,0.11988776787057638,0.013239746411879416
EVI_max,0.19505781115347842,0.08572823304498733,0.07421777958079723,0.11833460792642099,0.07421777958079723
nir_M07,0.29935109323024167,0.039272793253173566,0.013048484617590894,0.11722412370033537,0.013048484617590894
EVI_mean,0.05366161304138095,0.07327350466971083,0.22226669361128404,0.11640060377412527,0.05366161304138095
VH_db_spring_rise,0.073119775077082,0.25488214486488436,0.020021528652785836,0.11600781619825073,0.020021528652785836
swir2_M03,0.2048454331217182,0.12555827304648814,0.014903766916105843,0.11510249102810406,0.014903766916105843
VH_db_M06,0.03817076470977643,0.20121352386709512,0.10458135777838096,0.11465521545175084,0.03817076470977643
NDBI_M05,0.05010508491704169,0.20504440329832074,0.0877194504768164,0.11428964623072628,0.05010508491704169
VV_minus_VH_db_M05,0.1766999098635187,0.11626632323869734,0.04795631411646939,0.11364084907289514,0.04795631411646939
EVI_M10,0.073754483746864,0.0750021999279149,0.18525000825724613,0.11133556397734168,0.073754483746864
LSWI_M06,0.2490015230308793,0.010906878415654297,0.06857971107794736,0.10949603750816032,0.010906878415654297
VH_db_max,0.029193943847885206,0.18834512650272384,0.1058402709983648,0.10779311378299128,0.029193943847885206
VV_db_a0,0.003486249731509794,0.26760749810002205,0.04579003181254282,0.10562792654802489,0.003486249731509794
VH_db_M07,0.04494373202822666,0.17048986439885727,0.09916583820766767,0.10486647821158386,0.04494373202822666
VV_minus_VH_db_min,0.17333663507623753,0.08141723962583614,0.05539884775145221,0.10338424081784196,0.05539884775145221
LSWI_max,0.18157512472172255,0.10996462367395021,0.016480287908466895,0.10267334543471322,0.016480287908466895
NDMI_M05,0.031470306264903325,0.193704792761749,0.08218372551163822,0.10245294151276352,0.031470306264903325
EVI_spring_rise,0.2727523776913079,0.01287392955583977,0.01855517109468585,0.1013938261139445,0.01287392955583977
VV_db_autumn_decline,0.2425340725261529,0.007871843882724328,0.05322159049567454,0.10120916896818392,0.007871843882724328
VV_db_M03,0.006984020939291513,0.25915341696416005,0.03708690148045224,0.1010747797946346,0.006984020939291513
LSWI_a0,0.15801589891307333,0.11609684267705211,0.028908975379345003,0.10100723898982349,0.028908975379345003
LSWI_a1,0.20032579014360063,0.0774290025377331,0.022853516681952568,0.1002027697877621,0.022853516681952568
red_M03,0.15994313674553395,0.02569392035525686,0.10968756874328767,0.09844154194802616,0.02569392035525686
NDVI_tex_contrast,0.20388682678867864,0.009307742549396147,0.08024435424446708,0.09781297452751396,0.009307742549396147
BSI_M03,0.15399802905538706,0.13452697629881305,0.004180495056108402,0.0975685001367695,0.004180495056108402
NDBI_M06,0.19717088771510616,0.010797155172587392,0.08405443452700356,0.09734082580489904,0.010797155172587392
EVI_M06,0.13579598937437964,0.06898498338640668,0.08679306482939975,0.09719134586339535,0.06898498338640668
VV_db_max,0.003337058255864278,0.24421321045773303,0.043945891279031146,0.09716538666420949,0.003337058255864278
NDVI_amp,0.1491826152768041,0.10154218020646222,0.03947085285709773,0.09673188278012135,0.03947085285709773
BSI_M06,0.18804232794394493,0.004650789342890205,0.0944572112362605,0.0957167761743652,0.004650789342890205
VV_db_a1,0.09770112685565402,0.15071972659380029,0.03683953929100614,0.09508679758015348,0.03683953929100614
swir1_M03,0.17108504832244797,0.10514652346207654,0.008370499957003341,0.09486735724717595,0.008370499957003341
green_M03,0.13279422583646228,0.028239606569218978,0.11872041389062149,0.09325141543210091,0.028239606569218978
VV_db_M08,0.02327730045469356,0.19632950051892184,0.05992237858749894,0.09317639318703812,0.02327730045469356
