sample_id,group_id,class,EVI_a0,LSWI_a0,NDMI_a0,NDVI_a0,VH_db_a0,VV_VH_ratio_a0,VV_db_a0,VV_minus_VH_db_a0,EVI_a1,LSWI_a1,NDMI_a1,NDVI_a1,VH_db_a1,VV_VH_ratio_a1,VV_db_a1,VV_minus_VH_db_a1,EVI_a2,LSWI_a2,NDMI_a2,NDVI_a2,VH_db_a2,VV_VH_ratio_a2,VV_db_a2,VV_minus_VH_db_a2,EVI_a3,LSWI_a3,NDMI_a3,NDVI_a3,VH_db_a3,VV_VH_ratio_a3,VV_db_a3,VV_minus_VH_db_a3,EVI_r2,LSWI_r2,NDMI_r2,NDVI_r2,VH_db_r2,VV_VH_ratio_r2,VV_db_r2,VV_minus_VH_db_r2
worldcover_00180,worldcover_00180,3,0.10237825639385643,0.031956110939834824,-0.07116033134022462,0.12469704787839601,-14.931338931396095,3.5216459096492105,-9.716531173254829,5.223354352574294,0.2262807639123881,0.10791530018110626,0.07551268639693437,0.37104806735638535,0.09853506506633407,1.0290104606370682,0.4476053342179222,1.447165944393573,-0.03168174890387598,0.02046519528179388,0.013248263576039735,-0.05152276671164984,-0.0968162458241315,-0.3946371477342166,-0.21941268726320326,-0.5414419763750653,0.00018059613940024898,-0.005155577865250484,-0.003621252559388827,0.00045199086419258776,0.008544182489173498,0.03750608568203705,0.021666544742062113,0.05063836692130179,0.8448249965185952,0.7039056215205601,0.6527083051812321,0.892524320856671,0.36696572114533266,0.3011227909088744,0.1253029069037077,0.3907730740289336
worldcover_00181,worldcover_00181,3,0.10534571404532585,-0.11197216458844463,-0.17995280708948333,0.24698652801188448,-21.095000441009127,11.181707360731057,-9.968202734138128,10.534203162825763,-0.04104060921448281,-0.07748779998944332,-0.06195886340361811,-0.16058916639950432,2.1828738067261915,-1.2393253573428857,0.9423918646910037,-0.6633771238739697,0.05237214025296946,0.07295755207845003,0.05694283573037544,0.10233547178891288,-0.3790217575025937,-0.10549690528242434,-0.31014803999062723,-0.10217389441707549,-0.006605677253003404,-0.008369284616124746,-0.0065233031678192215,-0.01142681766339021,0.016094461172653736,0.020452965546657258,0.016377411486240223,0.01550597363391384,0.9406907950593126,0.9605280204626987,0.9426509904156571,0.9416121727079916,0.8381416785111611,0.8053293600790468,0.6235226798250574,0.7756477552511091
worldcover_00182,worldcover_00182,3,-0.06277203264064576,0.1814516805902581,0.17594175593871061,-0.038851170320852946,-21.385801130655693,8.98795726955742,-11.186684087091992,9.76872329003962,0.4948471327868063,0.1963743821584744,0.03267044624284104,0.6721638316465967,-0.6048105896315696,0.5038879766916243,-2.0968386368303458,-1.3616193093620532,-0.15151994564247107,-0.07896120889813849,-0.03361452633748826,-0.20850703670961737,0.17689608048684338,-1.12002382594813,0.3611960343437348,0.05565461889171737,0.011983952726355569,0.006134811139693751,0.002882370198465347,0.016648946979054877,-0.030467733179286412,0.18503784153546357,-0.016625462632482314,0.02918622099918664,0.6845388311388948,0.4711716475628771,0.48060674529351244,0.6759213065232987,0.3254432397717619,0.7666439586857635,0.4379135725423464,0.5700185126033444
worldcover_00183,worldcover_00183,3,-0.12590825150535193,0.6317202746868117,0.6248274364254665,-0.07282676011549653,-23.499089573043683,8.00365411865597,-16.327619116301964,8.993963208653437,0.33886441287177915,-0.6168606881466159,-0.6787675963123385,0.36525989949170956,2.3612435010561983,-1.2944878342488035,3.2645372571089943,-0.4878603409582742,-0.06245328966016436,0.20774710222723916,0.20887073607171874,-0.07005894836441501,-0.11084698585250419,-0.10466708963096895,-0.6499897234896423,-0.30884103358171516,0.0028987471228618393,-0.018998626826537975,-0.018194374844732897,0.003670268861407569,-0.025991247536771695,0.03222041340134027,0.031781556661114665,0.04759595255015193,0.8820983280961364,0.4935260217609443,0.6109807103726149,0.8576599043473506,0.6176835577266166,0.9452990191641033,0.5920465088153717,0.9219137712695011
worldcover_00184,worldcover_00184,3,0.06219318185780166,0.7492867859475499,0.7169485661116465,0.05867781072226877,-23.079440227022047,8.589106263474505,-15.146198207370086,9.376333305402577,-0.29644179008439986,-1.2392262710287878,-1.1807589564649783,-0.22466882262314086,-0.5169526666330804,0.18770781385175198,1.1730868235940017,0.0788418359729959,0.20804207622805132,0.48995703042311356,0.4429187728051748,0.19070772290178345,1.0651783216182806,-0.5771087938879069,0.3126219695222142,-0.36351191887627493,-0.023370438837286758,-0.047073615366837546,-0.041749413266326384,-0.022017008849276164,-0.1259556669469358,0.07692131482743193,-0.04987875303385667,0.04934398647894762,0.9553496003123522,0.9761522115117609,0.9659383432694234,0.9514464975022804,0.6913580700633861,0.8327681112442185,0.6222013124852739,0.8123356319159255
worldcover_00185,worldcover_00185,3,0.03038181456832821,-0.08710372114949244,-0.11275889047167599,0.08413824043942088,-25.834632587040087,23.512558296926148,-12.436090801968852,13.43801289381133,-0.009967711002938827,-0.12356209740530408,-0.09947660352502452,-0.1138636460675594,0.6577978774052181,-10.42118294239918,-0.9747274316050967,-1.5777153864025821,0.0895400372980046,0.15509081029159796,0.11779606700330568,0.1554685930814189,0.5724540071140636,1.5249065997796591,0.1527854922608868,-0.47405696319495727,-0.012439751709839506,-0.019245541435807492,-0.014868346466259513,-0.019606233922520064,-0.06950492026359763,-0.05379262225459266,0.009526551205467266,0.08489973432830618,0.8884525227860675,0.9525195900383194,0.9535033917747027,0.9430151386666179,0.857089534040459,0.9632733488249264,0.7076977211155377,0.9531681803931625
worldcover_00186,worldcover_00186,3,0.11542995589961476,-0.09075308805613858,-0.1413346102291889,0.1337714127518896,-16.758875543940537,10.382609005777702,-6.7855609910043935,10.08744837783945,-0.2875215006599983,0.21766453777395567,0.225995836838607,-0.20700709001412293,-10.316261322710066,4.016738840329936,-8.059999087976369,2.3073811029531273,0.19457417662752519,0.036327445952149144,0.009794871863058364,0.1855744978179143,3.728399093948241,-2.401746277109095,2.286115328502782,-1.503302495742966,-0.021962986337489925,-0.00903026257274729,-0.0056739112437524004,-0.02227187683485973,-0.3353103610893376,0.25554564222696263,-0.1766155019520579,0.16571252179099383,0.943465834317396,0.8255592761596944,0.7717931095449974,0.9644764627713481,0.8648456747890866,0.864691021734609,0.7652215576490957,0.8515678403837292
worldcover_00187,worldcover_00187,3,-0.04894090584929334,0.3914302550820678,0.37059775389956645,-0.046737665423388135,-24.210589160703456,10.616034349219534,-14.111734658886675,10.433952932663956,0.42410200500415085,-0.2326565499506176,-0.29676967811962857,0.5616162072364521,2.351317588977991,-3.212206610201978,-1.3573236141459248,-2.28168625851496,-0.11584925053504007,0.0690720387012798,0.07754618218128287,-0.15646339316743502,-0.17142061128184263,0.3079934431194996,0.6884100212074746,0.3035762246037769,0.008310834981605288,-0.006651143896195922,-0.006641393282798801,0.011439217753106275,-0.02768278768391001,0.026305428288956014,-0.07413688623007134,0.004653064358110907,0.7933122146220049,0.44072417414317233,0.5290291625450363,0.814836866673661,0.6381149590989448,0.9047803436671321,0.15319843724714277,0.8502899173359204
worldcover_00188,worldcover_00188,3,0.1359801532877993,-0.08406708999113519,-0.16679673890272653,0.3477359946930051,-20.670843016687336,9.997730842142296,-10.360392633712433,10.024151922053239,0.28744933770917586,0.4597498939209978,0.3907281412107359,0.2775107085231747,-0.15306609979621955,-3.4196195577574446,-2.2227239233790015,-2.7869975053801377,-0.09113466580794313,-0.15472334341520988,-0.1314606712465838,-0.09016070402029787,0.20335248928833888,0.2833806986005521,0.40115899429689045,0.5038969119272393,0.0072219175442493205,0.012771847469713346,0.010822910763737223,0.0070795124829417565,-0.029320870560350508,0.0417047024897058,-0.01642678948154386,-0.011556896114844877,0.44954972284104755,0.5059737994410227,0.5271159497663975,0.3833368737728583,0.16033348083828391,0.8029345007569375,0.8990880955862728,0.7958839197987811
worldcover_00189,worldcover_00189,3,-0.006814004417908507,0.5562009572079664,0.5381006390759407,-0.026139360146992228,-23.615054090377765,6.861432210059472,-15.402722334092886,8.230555109411831,0.05323266289250527,-0.7558723292239573,-0.7504496529461822,0.08821699694390348,2.14084841622463,2.6768180506997097,4.400085072130291,2.036049955360612,0.07131949341049258,0.3175267247378306,0.29092404244717535,0.0819144259122286,-0.16050833319241803,-1.4542035073959472,-1.470998715205072,-1.1514022031516393,-0.011165102922949253,-0.03143653237834721,-0.028240665530014492,-0.013082287208449978,0.0013418760435422636,0.1496541637394505,0.14073756284930491,0.12056734068583712,0.810058276304699,0.6878839362149041,0.7053432379849802,0.8357017867620693,0.7364281962772043,0.8411683096703959,0.671539358745425,0.8897658288612259
